country,indicatorType,indicator,unit,year,value
syria,energy indicators,Energy use by Sector - Other,%,2011,13.14156767
syria,energy indicators,Gross energy production,ktoe,2010,27669.452
syria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2010,72.99472718
syria,energy indicators,Gross energy production - Natural Gas,%,2010,26.17669118
syria,energy indicators,Gross energy production - Coal,%,2010,0
syria,energy indicators,Gross energy production - Nuclear,%,2010,0
syria,energy indicators,Gross energy production - Renewables,%,2010,0.828581643
syria,energy indicators,Gross energy production - Solar,%,2010,0
syria,energy indicators,Gross energy production - Wind,%,2010,0
syria,energy indicators,Gross energy production - Hydropower,%,2010,0.805624918
syria,energy indicators,Gross energy production - Other,%,2010,0
syria,energy indicators,Total energy export,ktoe,2010,10070.574
syria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2010,99.10930598
syria,energy indicators,Total energy export - Natural Gas,%,2010,0
syria,energy indicators,Total energy export - Coal,%,2010,0
syria,energy indicators,Total energy export - Electricity,%,2010,0.890694016
syria,energy indicators,Total energy import,ktoe,2010,5699.598
syria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2010,89.1035473
syria,energy indicators,Total energy import - Natural Gas,%,2010,9.808042602
syria,energy indicators,Total energy import - Coal,%,2010,0.047266491
syria,energy indicators,Total energy import - Electricity,%,2010,1.041126058
syria,energy indicators,Total primary energy supply (TPES),ktoe,2010,21659.828
syria,energy indicators,Primary energy supply per capita,toe,2010,1.045358494
syria,energy indicators,Energy productivity,$/kgoe,2010,2.771951836
syria,energy indicators,Energy subsidies,$B,2010,
syria,energy indicators,Final energy consumption,ktoe,2010,13541.389
syria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2010,65.8457563
syria,energy indicators,Final energy consumption - Natural Gas,%,2010,12.73000872
syria,energy indicators,Final energy consumption - Coal,%,2010,0.007938624
syria,energy indicators,Final energy consumption - Electricity,%,2010,21.37331702
syria,energy indicators,Final energy consumption - Other,%,2010,0.042979343
syria,energy indicators,Energy use per capita,toe,2010,0.65354194
syria,energy indicators,Energy use by Sector - Industry,%,2010,25.35849166
syria,energy indicators,Energy use by Sector - Transport,%,2010,30.18478385
syria,energy indicators,Energy use by Sector - Residential,%,2010,21.42941171
syria,energy indicators,Energy use by Sector - Tertiary,%,2010,4.748870297
syria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2010,3.643016237
syria,energy indicators,Energy use by Sector - Other,%,2010,14.63542625
syria,oil indicators,Oil production,kbl/day,2017,
syria,oil indicators,Oil reserves,Gbl,2017,2.5
syria,oil indicators,Oil reserve to production ratio,years,2017,
syria,oil indicators,Fiscal breakeven oil price,$/bl,2017,
syria,oil indicators,External breakeven oil price,$/bl,2017,
syria,oil indicators,Oil Imports,kbl,2017,
syria,oil indicators,Oil exports,kbl,2017,
syria,oil indicators,Oil rents (% of GDP),%,2017,
syria,oil indicators,Oil production,kbl/day,2016,
syria,oil indicators,Oil reserves,Gbl,2016,2.5
syria,oil indicators,Oil reserve to production ratio,years,2016,
syria,oil indicators,Fiscal breakeven oil price,$/bl,2016,
syria,oil indicators,External breakeven oil price,$/bl,2016,
syria,oil indicators,Oil Imports,kbl,2016,
syria,oil indicators,Oil exports,kbl,2016,
syria,oil indicators,Oil rents (% of GDP),%,2016,
syria,oil indicators,Oil production,kbl/day,2015,24
syria,oil indicators,Oil reserves,Gbl,2015,2.5
syria,oil indicators,Oil reserve to production ratio,years,2015,285.3881279
syria,oil indicators,Fiscal breakeven oil price,$/bl,2015,
syria,oil indicators,External breakeven oil price,$/bl,2015,
syria,oil indicators,Oil Imports,kbl,2015,
syria,oil indicators,Oil exports,kbl,2015,
syria,oil indicators,Oil rents (% of GDP),%,2015,
syria,oil indicators,Oil production,kbl/day,2014,29
syria,oil indicators,Oil reserves,Gbl,2014,2.5
syria,oil indicators,Oil reserve to production ratio,years,2014,236.1832782
syria,oil indicators,Fiscal breakeven oil price,$/bl,2014,
syria,oil indicators,External breakeven oil price,$/bl,2014,
syria,oil indicators,Oil Imports,kbl,2014,124
syria,oil indicators,Oil exports,kbl,2014,13
syria,oil indicators,Oil rents (% of GDP),%,2014,
syria,oil indicators,Oil production,kbl/day,2013,55
syria,oil indicators,Oil reserves,Gbl,2013,2.5
syria,oil indicators,Oil reserve to production ratio,years,2013,124.5330012
syria,oil indicators,Fiscal breakeven oil price,$/bl,2013,
syria,oil indicators,External breakeven oil price,$/bl,2013,
syria,oil indicators,Oil Imports,kbl,2013,112
syria,oil indicators,Oil exports,kbl,2013,13
syria,oil indicators,Oil rents (% of GDP),%,2013,
syria,oil indicators,Oil production,kbl/day,2012,172
syria,oil indicators,Oil reserves,Gbl,2012,2.5
syria,oil indicators,Oil reserve to production ratio,years,2012,39.82159924
syria,oil indicators,Fiscal breakeven oil price,$/bl,2012,
syria,oil indicators,External breakeven oil price,$/bl,2012,
syria,oil indicators,Oil Imports,kbl,2012,50
syria,oil indicators,Oil exports,kbl,2012,20
syria,oil indicators,Oil rents (% of GDP),%,2012,
syria,oil indicators,Oil production,kbl/day,2011,370
syria,oil indicators,Oil reserves,Gbl,2011,2.5
syria,oil indicators,Oil reserve to production ratio,years,2011,18.51166235
syria,oil indicators,Fiscal breakeven oil price,$/bl,2011,
syria,oil indicators,External breakeven oil price,$/bl,2011,
syria,oil indicators,Oil Imports,kbl,2011,82
syria,oil indicators,Oil exports,kbl,2011,144
syria,oil indicators,Oil rents (% of GDP),%,2011,
syria,oil indicators,Oil production,kbl/day,2010,405
syria,oil indicators,Oil reserves,Gbl,2010,2.5
syria,oil indicators,Oil reserve to production ratio,years,2010,16.91188906
syria,oil indicators,Fiscal breakeven oil price,$/bl,2010,
syria,oil indicators,External breakeven oil price,$/bl,2010,
syria,oil indicators,Oil Imports,kbl,2010,105
syria,oil indicators,Oil exports,kbl,2010,200
syria,oil indicators,Oil rents (% of GDP),%,2010,
syria,gas indicators,Gas production,bcm,2017,
syria,gas indicators,Gas reserves,bcm,2017,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2017,
syria,gas indicators,Gas Imports,bcm,2017,
syria,gas indicators,Gas Imports as LNG,bcm,2017,
syria,gas indicators,Gas exports,bcm,2017,
syria,gas indicators,Gas exports as LNG,bcm,2017,
syria,gas indicators,Gas production,bcm,2016,
syria,gas indicators,Gas reserves,bcm,2016,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2016,
syria,gas indicators,Gas Imports,bcm,2016,
syria,gas indicators,Gas Imports as LNG,bcm,2016,
syria,gas indicators,Gas exports,bcm,2016,
syria,gas indicators,Gas exports as LNG,bcm,2016,
syria,gas indicators,Gas production,bcm,2015,4.515
syria,gas indicators,Gas reserves,bcm,2015,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2015,53.30967819
syria,gas indicators,Gas Imports,bcm,2015,0
syria,gas indicators,Gas Imports as LNG,bcm,2015,0
syria,gas indicators,Gas exports,bcm,2015,0
syria,gas indicators,Gas exports as LNG,bcm,2015,0
syria,gas indicators,Gas production,bcm,2014,4.9
syria,gas indicators,Gas reserves,bcm,2014,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2014,49.12106062
syria,gas indicators,Gas Imports,bcm,2014,0
syria,gas indicators,Gas Imports as LNG,bcm,2014,0
syria,gas indicators,Gas exports,bcm,2014,0
syria,gas indicators,Gas exports as LNG,bcm,2014,0
syria,gas indicators,Gas production,bcm,2013,5.3
syria,gas indicators,Gas reserves,bcm,2013,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2013,45.41381076
syria,gas indicators,Gas Imports,bcm,2013,0
syria,gas indicators,Gas Imports as LNG,bcm,2013,0
syria,gas indicators,Gas exports,bcm,2013,0
syria,gas indicators,Gas exports as LNG,bcm,2013,0
syria,gas indicators,Gas production,bcm,2012,6.45
syria,gas indicators,Gas reserves,bcm,2012,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2012,37.31677474
syria,gas indicators,Gas Imports,bcm,2012,0
syria,gas indicators,Gas Imports as LNG,bcm,2012,0
syria,gas indicators,Gas exports,bcm,2012,0
syria,gas indicators,Gas exports as LNG,bcm,2012,0
syria,gas indicators,Gas production,bcm,2011,7.87
syria,gas indicators,Gas reserves,bcm,2011,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2011,30.58363368
syria,gas indicators,Gas Imports,bcm,2011,250
syria,gas indicators,Gas Imports as LNG,bcm,2011,0
syria,gas indicators,Gas exports,bcm,2011,0
syria,gas indicators,Gas exports as LNG,bcm,2011,0
syria,gas indicators,Gas production,bcm,2010,8.94
syria,gas indicators,Gas reserves,bcm,2010,240.693197
syria,gas indicators,Gas reserve to production ratio,years,2010,26.9231764
syria,gas indicators,Gas Imports,bcm,2010,690
syria,gas indicators,Gas Imports as LNG,bcm,2010,0
syria,gas indicators,Gas exports,bcm,2010,0
syria,gas indicators,Gas exports as LNG,bcm,2010,0
syria,electricity indicators,Access to Electricity,%,2017,
syria,electricity indicators,Total installed generation capacity,MW,2017,
syria,electricity indicators,Total generated electricity,GWh,2017,
syria,electricity indicators,Electricty imports,GWh,2017,
syria,electricity indicators,Electricity exports,GWh,2017,
syria,electricity indicators,Losses,GWh,2017,
syria,electricity indicators,Final electricity consumption,GWh,2017,
syria,electricity indicators,Electricity consumption per capita,kWh,2017,
syria,electricity indicators,Cost of electricity,$/kWh,2017,
syria,electricity indicators,Electricity price,$/kWh,2017,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2017,
syria,electricity indicators,Electricity Generation - Natural Gas,%,2017,
syria,electricity indicators,Electricity Generation - Coal,%,2017,
syria,electricity indicators,Electricity Generation - Nuclear,%,2017,
syria,electricity indicators,Electricity Generation - Renewables,%,2017,
syria,electricity indicators,Electricity Generation - Solar,%,2017,
syria,electricity indicators,Electricity Generation - Wind,%,2017,
syria,electricity indicators,Electricity Generation - Hydropower,%,2017,
syria,electricity indicators,Electricity Generation - Other,%,2017,
syria,electricity indicators,Access to Electricity,%,2016,
syria,electricity indicators,Total installed generation capacity,MW,2016,
syria,electricity indicators,Total generated electricity,GWh,2016,
syria,electricity indicators,Electricty imports,GWh,2016,
syria,electricity indicators,Electricity exports,GWh,2016,
syria,electricity indicators,Losses,GWh,2016,
syria,electricity indicators,Final electricity consumption,GWh,2016,
syria,electricity indicators,Electricity consumption per capita,kWh,2016,
syria,electricity indicators,Cost of electricity,$/kWh,2016,
syria,electricity indicators,Electricity price,$/kWh,2016,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2016,
syria,electricity indicators,Electricity Generation - Natural Gas,%,2016,
syria,electricity indicators,Electricity Generation - Coal,%,2016,
syria,electricity indicators,Electricity Generation - Nuclear,%,2016,
syria,electricity indicators,Electricity Generation - Renewables,%,2016,
syria,electricity indicators,Electricity Generation - Solar,%,2016,
syria,electricity indicators,Electricity Generation - Wind,%,2016,
syria,electricity indicators,Electricity Generation - Hydropower,%,2016,
syria,electricity indicators,Electricity Generation - Other,%,2016,
syria,electricity indicators,Access to Electricity,%,2015,
syria,electricity indicators,Total installed generation capacity,MW,2015,
syria,electricity indicators,Total generated electricity,GWh,2015,
syria,electricity indicators,Electricty imports,GWh,2015,
syria,electricity indicators,Electricity exports,GWh,2015,
syria,electricity indicators,Losses,GWh,2015,
syria,electricity indicators,Final electricity consumption,GWh,2015,
syria,electricity indicators,Electricity consumption per capita,kWh,2015,
syria,electricity indicators,Cost of electricity,$/kWh,2015,
syria,electricity indicators,Electricity price,$/kWh,2015,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2015,
syria,electricity indicators,Electricity Generation - Natural Gas,%,2015,
syria,electricity indicators,Electricity Generation - Coal,%,2015,
syria,electricity indicators,Electricity Generation - Nuclear,%,2015,
syria,electricity indicators,Electricity Generation - Renewables,%,2015,
syria,electricity indicators,Electricity Generation - Solar,%,2015,
syria,electricity indicators,Electricity Generation - Wind,%,2015,
syria,electricity indicators,Electricity Generation - Hydropower,%,2015,
syria,electricity indicators,Electricity Generation - Other,%,2015,
syria,electricity indicators,Access to Electricity,%,2014,95.8
syria,electricity indicators,Total installed generation capacity,MW,2014,9603
syria,electricity indicators,Total generated electricity,GWh,2014,21726
syria,electricity indicators,Electricty imports,GWh,2014,0
syria,electricity indicators,Electricity exports,GWh,2014,138
syria,electricity indicators,Losses,GWh,2014,3353
syria,electricity indicators,Final electricity consumption,GWh,2014,15753
syria,electricity indicators,Electricity consumption per capita,kWh,2014,839.2647842
syria,electricity indicators,Cost of electricity,$/kWh,2014,
syria,electricity indicators,Electricity price,$/kWh,2014,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2014,21.82638314
syria,electricity indicators,Electricity Generation - Natural Gas,%,2014,64.36527663
syria,electricity indicators,Electricity Generation - Coal,%,2014,0
syria,electricity indicators,Electricity Generation - Nuclear,%,2014,0
syria,electricity indicators,Electricity Generation - Renewables,%,2014,13.80834024
syria,electricity indicators,Electricity Generation - Solar,%,2014,0
syria,electricity indicators,Electricity Generation - Wind,%,2014,0
syria,electricity indicators,Electricity Generation - Hydropower,%,2014,13.80834024
syria,electricity indicators,Electricity Generation - Other,%,2014,0
syria,electricity indicators,Access to Electricity,%,2013,95.1
syria,electricity indicators,Total installed generation capacity,MW,2013,9879
syria,electricity indicators,Total generated electricity,GWh,2013,24933
syria,electricity indicators,Electricty imports,GWh,2013,0
syria,electricity indicators,Electricity exports,GWh,2013,529
syria,electricity indicators,Losses,GWh,2013,3477
syria,electricity indicators,Final electricity consumption,GWh,2013,18079
syria,electricity indicators,Electricity consumption per capita,kWh,2013,935.7660455
syria,electricity indicators,Cost of electricity,$/kWh,2013,
syria,electricity indicators,Electricity price,$/kWh,2013,0.036
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2013,27.30517788
syria,electricity indicators,Electricity Generation - Natural Gas,%,2013,60.6625757
syria,electricity indicators,Electricity Generation - Coal,%,2013,0
syria,electricity indicators,Electricity Generation - Nuclear,%,2013,0
syria,electricity indicators,Electricity Generation - Renewables,%,2013,12.03224642
syria,electricity indicators,Electricity Generation - Solar,%,2013,0
syria,electricity indicators,Electricity Generation - Wind,%,2013,0
syria,electricity indicators,Electricity Generation - Hydropower,%,2013,12.03224642
syria,electricity indicators,Electricity Generation - Other,%,2013,0
syria,electricity indicators,Access to Electricity,%,2012,94.3
syria,electricity indicators,Total installed generation capacity,MW,2012,
syria,electricity indicators,Total generated electricity,GWh,2012,33212
syria,electricity indicators,Electricty imports,GWh,2012,0
syria,electricity indicators,Electricity exports,GWh,2012,0
syria,electricity indicators,Losses,GWh,2012,5335
syria,electricity indicators,Final electricity consumption,GWh,2012,24083
syria,electricity indicators,Electricity consumption per capita,kWh,2012,1205.355355
syria,electricity indicators,Cost of electricity,$/kWh,2012,
syria,electricity indicators,Electricity price,$/kWh,2012,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2012,34.83078405
syria,electricity indicators,Electricity Generation - Natural Gas,%,2012,55.42273877
syria,electricity indicators,Electricity Generation - Coal,%,2012,0
syria,electricity indicators,Electricity Generation - Nuclear,%,2012,0
syria,electricity indicators,Electricity Generation - Renewables,%,2012,9.746477177
syria,electricity indicators,Electricity Generation - Solar,%,2012,0
syria,electricity indicators,Electricity Generation - Wind,%,2012,0
syria,electricity indicators,Electricity Generation - Hydropower,%,2012,9.746477177
syria,electricity indicators,Electricity Generation - Other,%,2012,0
syria,electricity indicators,Access to Electricity,%,2011,93.5
syria,electricity indicators,Total installed generation capacity,MW,2011,9344
syria,electricity indicators,Total generated electricity,GWh,2011,42015
syria,electricity indicators,Electricty imports,GWh,2011,902
syria,electricity indicators,Electricity exports,GWh,2011,1192
syria,electricity indicators,Losses,GWh,2011,6460
syria,electricity indicators,Final electricity consumption,GWh,2011,30465
syria,electricity indicators,Electricity consumption per capita,kWh,2011,1486.097561
syria,electricity indicators,Cost of electricity,$/kWh,2011,
syria,electricity indicators,Electricity price,$/kWh,2011,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2011,38.73140545
syria,electricity indicators,Electricity Generation - Natural Gas,%,2011,53.45471855
syria,electricity indicators,Electricity Generation - Coal,%,2011,0
syria,electricity indicators,Electricity Generation - Nuclear,%,2011,0
syria,electricity indicators,Electricity Generation - Renewables,%,2011,7.813875997
syria,electricity indicators,Electricity Generation - Solar,%,2011,0
syria,electricity indicators,Electricity Generation - Wind,%,2011,0
syria,electricity indicators,Electricity Generation - Hydropower,%,2011,7.813875997
syria,electricity indicators,Electricity Generation - Other,%,2011,0
syria,electricity indicators,Access to Electricity,%,2010,92.7
syria,electricity indicators,Total installed generation capacity,MW,2010,8025
syria,electricity indicators,Total generated electricity,GWh,2010,46413
syria,electricity indicators,Electricty imports,GWh,2010,690
syria,electricity indicators,Electricity exports,GWh,2010,1043
syria,electricity indicators,Losses,GWh,2010,7103
syria,electricity indicators,Final electricity consumption,GWh,2010,33654
syria,electricity indicators,Electricity consumption per capita,kWh,2010,1624.227799
syria,electricity indicators,Cost of electricity,$/kWh,2010,
syria,electricity indicators,Electricity price,$/kWh,2010,
syria,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2010,39.44584491
syria,electricity indicators,Electricity Generation - Natural Gas,%,2010,54.96951285
syria,electricity indicators,Electricity Generation - Coal,%,2010,0
syria,electricity indicators,Electricity Generation - Nuclear,%,2010,0
syria,electricity indicators,Electricity Generation - Renewables,%,2010,5.584642234
syria,electricity indicators,Electricity Generation - Solar,%,2010,0
syria,electricity indicators,Electricity Generation - Wind,%,2010,0
syria,electricity indicators,Electricity Generation - Hydropower,%,2010,5.584642234
syria,electricity indicators,Electricity Generation - Other,%,2010,0
syria,energy efficiency indicators,RISE score,/100,2017,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2017,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2017,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2017,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2017,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2017,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2017,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2017,
syria,energy efficiency indicators,RISE score,/100,2016,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2016,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2016,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2016,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2016,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2016,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2016,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2016,
syria,energy efficiency indicators,RISE score,/100,2015,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2015,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2015,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2015,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2015,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2015,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2015,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2015,
syria,energy efficiency indicators,RISE score,/100,2014,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2014,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2014,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2014,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2014,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2014,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2014,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2014,
syria,energy efficiency indicators,RISE score,/100,2013,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2013,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2013,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2013,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2013,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2013,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2013,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2013,
syria,energy efficiency indicators,RISE score,/100,2012,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2012,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2012,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2012,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2012,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2012,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2012,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2012,
syria,energy efficiency indicators,RISE score,/100,2011,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2011,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2011,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2011,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2011,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2011,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2011,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2011,
syria,energy efficiency indicators,RISE score,/100,2010,
syria,energy efficiency indicators,RISE energy efficiency score,/100,2010,
syria,energy efficiency indicators,Energy efficiency potential,% of TPES,2010,
syria,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2010,
syria,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2010,
syria,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2010,
syria,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2010,
syria,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2010,
tunisia,economic indicators,GDP,US $B,2017,
tunisia,economic indicators,GDP based on PPP,Int. $B,2017,
tunisia,economic indicators,Real GDP growth,%,2017,
tunisia,economic indicators,GDP per capita,US $,2017,
tunisia,economic indicators,GDP per capita based on PPP,Int. $B,2017,
tunisia,economic indicators,Population,million,2017,
tunisia,economic indicators,Land Area,sq.km,2017,
tunisia,economic indicators,Human Development Index,,2017,
tunisia,economic indicators,Inflation rate,%,2017,
tunisia,economic indicators,Unemployment rate,%,2017,
tunisia,economic indicators,Current account balance,US $B,2017,
tunisia,economic indicators,Government Gross Debt (share of GDP),%,2017,
tunisia,economic indicators,International Reserves,US $B,2017,
tunisia,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2017,
tunisia,economic indicators,CO2 emissions per capita,metric tons,2017,
tunisia,economic indicators,GDP,US $B,2016,41.87
tunisia,economic indicators,GDP based on PPP,Int. $B,2016,130.58
tunisia,economic indicators,Real GDP growth,%,2016,1
tunisia,economic indicators,GDP per capita,US $,2016,3730
tunisia,economic indicators,GDP per capita based on PPP,Int. $B,2016,11634
tunisia,economic indicators,Population,million,2016,11.23
tunisia,economic indicators,Land Area,sq.km,2016,155360
tunisia,economic indicators,Human Development Index,,2016,
tunisia,economic indicators,Inflation rate,%,2016,3.7
tunisia,economic indicators,Unemployment rate,%,2016,14
tunisia,economic indicators,Current account balance,US $B,2016,-3.8
tunisia,economic indicators,Government Gross Debt (share of GDP),%,2016,60.6
tunisia,economic indicators,International Reserves,US $B,2016,
tunisia,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2016,
tunisia,economic indicators,CO2 emissions per capita,metric tons,2016,
tunisia,economic indicators,GDP,US $B,2015,43.16
tunisia,economic indicators,GDP based on PPP,Int. $B,2015,127.61
tunisia,economic indicators,Real GDP growth,%,2015,1.1
tunisia,economic indicators,GDP per capita,US $,2015,3884
tunisia,economic indicators,GDP per capita based on PPP,Int. $B,2015,11486
tunisia,economic indicators,Population,million,2015,11.11
tunisia,economic indicators,Land Area,sq.km,2015,155360
tunisia,economic indicators,Human Development Index,,2015,0.73
tunisia,economic indicators,Inflation rate,%,2015,4.9
tunisia,economic indicators,Unemployment rate,%,2015,15
tunisia,economic indicators,Current account balance,US $B,2015,-3.8
tunisia,economic indicators,Government Gross Debt (share of GDP),%,2015,57.2
tunisia,economic indicators,International Reserves,US $B,2015,
tunisia,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2015,247.65
tunisia,economic indicators,CO2 emissions per capita,metric tons,2015,2.62
tunisia,economic indicators,GDP,US $B,2014,47.61
tunisia,economic indicators,GDP based on PPP,Int. $B,2014,124.87
tunisia,economic indicators,Real GDP growth,%,2014,2.3
tunisia,economic indicators,GDP per capita,US $,2014,4329
tunisia,economic indicators,GDP per capita based on PPP,Int. $B,2014,11354
tunisia,economic indicators,Population,million,2014,11
tunisia,economic indicators,Land Area,sq.km,2014,155360
tunisia,economic indicators,Human Development Index,,2014,0.72
tunisia,economic indicators,Inflation rate,%,2014,4.9
tunisia,economic indicators,Unemployment rate,%,2014,15.3
tunisia,economic indicators,Current account balance,US $B,2014,-4.3
tunisia,economic indicators,Government Gross Debt (share of GDP),%,2014,51.6
tunisia,economic indicators,International Reserves,US $B,2014,7.5
tunisia,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2014,230.59
tunisia,economic indicators,CO2 emissions per capita,metric tons,2014,2.45
tunisia,economic indicators,GDP,US $B,2013,46.25
tunisia,economic indicators,GDP based on PPP,Int. $B,2013,119.97
tunisia,economic indicators,Real GDP growth,%,2013,2.4
tunisia,economic indicators,GDP per capita,US $,2013,4249
tunisia,economic indicators,GDP per capita based on PPP,Int. $B,2013,11020
tunisia,economic indicators,Population,million,2013,10.89
tunisia,economic indicators,Land Area,sq.km,2013,155360
tunisia,economic indicators,Human Development Index,,2013,0.72
tunisia,economic indicators,Inflation rate,%,2013,5.8
tunisia,economic indicators,Unemployment rate,%,2013,15.3
tunisia,economic indicators,Current account balance,US $B,2013,-3.9
tunisia,economic indicators,Government Gross Debt (share of GDP),%,2013,46.8
tunisia,economic indicators,International Reserves,US $B,2013,7.55
tunisia,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2013,218.94
tunisia,economic indicators,CO2 emissions per capita,metric tons,2013,2.3
tunisia,economic indicators,GDP,US $B,2012,45.04
tunisia,economic indicators,GDP based on PPP,Int. $B,2012,115.25
tunisia,economic indicators,Real GDP growth,%,2012,3.9
tunisia,economic indicators,GDP per capita,US $,2012,4180
tunisia,economic indicators,GDP per capita based on PPP,Int. $B,2012,10694
tunisia,economic indicators,Population,million,2012,10.78
tunisia,economic indicators,Land Area,sq.km,2012,155360
tunisia,economic indicators,Human Development Index,,2012,0.72
tunisia,economic indicators,Inflation rate,%,2012,5.1
tunisia,economic indicators,Unemployment rate,%,2012,16.7
tunisia,economic indicators,Current account balance,US $B,2012,-3.7
tunisia,economic indicators,Government Gross Debt (share of GDP),%,2012,47.7
tunisia,economic indicators,International Reserves,US $B,2012,8.72
tunisia,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2012,223.37
tunisia,economic indicators,CO2 emissions per capita,metric tons,2012,2.32
tunisia,economic indicators,GDP,US $B,2011,45.81
tunisia,economic indicators,GDP based on PPP,Int. $B,2011,108.91
tunisia,economic indicators,Real GDP growth,%,2011,-1.9
tunisia,economic indicators,GDP per capita,US $,2011,4292
